Trial #, Mouse X, Mouse Y, Target X, Target Y, Target Width, Time Taken (ms), Hit/Miss (1/0)
0,1,380,380,400,400,40,1750,1
1,1,470,380,490,400,40,404,1
2,1,380,470,400,490,40,442,1
3,1,200,200,220,220,40,716,1
4,1,470,200,490,220,40,834,1
5,1,290,200,310,220,40,717,1
6,1,200,470,220,490,40,598,1
7,1,380,380,400,400,40,574,1
8,1,200,290,220,310,40,701,1
9,1,290,200,310,220,40,586,1
10,1,470,470,490,490,40,657,1
11,1,380,290,400,310,40,620,1
12,1,470,470,490,490,40,728,1
13,1,470,200,490,220,40,658,1
14,1,470,380,490,400,40,625,1
15,1,200,290,220,310,40,801,1
16,1,290,290,310,310,40,566,1
17,1,290,470,310,490,40,534,1
18,1,470,380,490,400,40,608,1
19,1,470,290,490,310,40,824,1
20,1,380,380,400,400,40,476,1
21,1,200,290,220,310,40,836,1
22,1,200,200,220,220,40,527,1
23,1,200,380,220,400,40,542,1
24,1,200,290,220,310,40,717,1
25,1,470,290,490,310,40,768,1
26,1,200,380,220,400,40,524,1
27,1,470,200,490,220,40,550,1
28,1,290,380,310,400,40,593,1
29,1,380,470,400,490,40,549,1
30,1,470,290,490,310,40,517,1
31,1,290,380,310,400,40,719,1
32,1,290,200,310,220,40,559,1
33,1,380,290,400,310,40,759,1
34,1,380,290,400,310,40,765,1
35,1,200,380,220,400,40,759,1
36,1,200,290,220,310,40,658,1
37,1,380,290,400,310,40,867,1
38,1,200,380,220,400,40,802,1
39,1,380,470,400,490,40,865,1
40,1,200,380,220,400,40,683,1
41,1,470,290,490,310,40,808,1
42,1,200,380,220,400,40,1068,1
43,1,200,470,220,490,40,1324,1
44,1,290,380,310,400,40,792,1
45,1,290,200,310,220,40,877,1
46,1,470,200,490,220,40,715,1
47,1,290,470,310,490,40,1000,1
48,1,290,290,310,310,40,733,1
49,1,290,380,310,400,40,667,1
50,1,470,380,490,400,40,676,1
51,1,380,200,400,220,40,824,1
52,1,380,200,400,220,40,1652,1
53,1,470,470,490,490,40,900,1
54,1,200,200,220,220,40,824,1
55,1,290,290,310,310,40,724,1
56,1,290,290,310,310,40,542,1
57,1,290,380,310,400,40,635,1
58,1,200,380,220,400,40,549,1
59,1,470,380,490,400,40,661,1
60,1,380,380,400,400,40,590,1
61,1,200,380,220,400,40,651,1
62,1,380,290,400,310,40,600,1
63,1,470,290,490,310,40,549,1
64,1,470,290,490,310,40,1014,1
65,1,470,200,490,220,40,407,1
66,1,290,470,310,490,40,501,1
67,1,380,200,400,220,40,676,1
68,1,290,470,310,490,40,891,1
69,1,470,200,490,220,40,625,1
70,1,290,380,310,400,40,533,1
71,1,200,200,220,220,40,668,1
72,1,470,470,490,490,40,640,1
73,1,380,200,400,220,40,1018,1
74,1,380,290,400,310,40,533,1
75,1,380,380,400,400,40,875,1
76,1,380,470,400,490,40,508,1
77,1,470,380,490,400,40,467,1
78,1,290,470,310,490,40,493,1
79,1,380,380,400,400,40,507,1
80,1,470,470,490,490,40,1126,1
81,1,470,470,490,490,40,1016,1
82,1,380,470,400,490,40,425,1
83,1,200,290,220,310,40,567,1
84,1,470,470,490,490,40,509,1
85,1,290,200,310,220,40,766,1
86,1,200,470,220,490,40,733,1
87,1,470,380,490,400,40,535,1
88,1,470,200,490,220,40,716,1
89,1,290,200,310,220,40,616,1
90,1,470,380,490,400,40,691,1
91,1,200,470,220,490,40,885,1
92,1,380,290,400,310,40,742,1
93,1,200,470,220,490,40,650,1
94,1,200,380,220,400,40,750,1
95,1,380,380,400,400,40,942,1
96,1,470,470,490,490,40,724,1
97,1,290,470,310,490,40,642,1
98,1,470,200,490,220,40,650,1
99,1,380,200,400,220,40,534,1
100,1,200,200,220,220,40,900,1
101,1,290,470,310,490,40,959,1
102,1,200,470,220,490,40,624,1
103,1,380,290,400,310,40,758,1
104,1,290,290,310,310,40,626,1
105,1,200,470,220,490,40,1125,1
106,1,200,470,220,490,40,210,1
107,1,470,380,490,400,40,592,1
108,1,200,200,220,220,40,650,1
109,1,380,200,400,220,40,2265,1
110,1,200,380,220,400,40,816,1
111,1,470,290,490,310,40,660,1
112,1,380,470,400,490,40,816,1
113,1,470,380,490,400,40,525,1
114,1,290,200,310,220,40,808,1
115,1,200,200,220,220,40,558,1
116,1,380,200,400,220,40,768,1
117,1,200,200,220,220,40,583,1
118,1,290,200,310,220,40,517,1
119,1,200,470,220,490,40,874,1
120,1,290,200,310,220,40,1286,1
121,1,200,200,220,220,40,606,1
122,1,380,380,400,400,40,834,1
